id	latin_name	initials	cultivar	icon_url
235	Salix purpurea	Sp	.	../Drawing/Icons/Plants/Plants/Salix_purpurea(Sp).svg
236	Salvia officinalis	So	.	../Drawing/Icons/Plants/Plants/Salvia_officinalis(So).svg
237	Sambucus caerulaea	Sc	.	../Drawing/Icons/Plants/Plants/Sambucus_caerulaea(Sc).svg
238	Sambucus canadensis	Sc	.	../Drawing/Icons/Plants/Plants/Sambucus_canadensis(Sc).svg
239	Sambucus nigra	Sn	.	../Drawing/Icons/Plants/Plants/Sambucus_nigra(Sn).svg
240	Sasa veitchii	Sv	.	../Drawing/Icons/Plants/Plants/Sasa_veitchii(Sv).svg
241	Schisandra chinensis	Sc	.	../Drawing/Icons/Plants/Plants/Schisandra_chinensis(Sc).svg
242	Semiarundinaria fastuosa	Sf	.	../Drawing/Icons/Plants/Plants/Semiarundinaria_fastuosa(Sf).svg
243	Sempervivum tectorum	Ste	.	../Drawing/Icons/Plants/Plants/Sempervivum_tectorum(Ste).svg
244	Smilacena racemosa	Sr	.	../Drawing/Icons/Plants/Plants/Smilacena_racemosa(Sr).svg
245	Solanum tuberosum	Stu	.	../Drawing/Icons/Plants/Plants/Solanum_tuberosum(Stu).svg
246	Spinacia oleracea	So	.	../Drawing/Icons/Plants/Plants/Spinacia_oleracea(So).svg
247	Stachys affinis	Sa	.	../Drawing/Icons/Plants/Plants/Stachys_affinis(Sa).svg
248	Stellaria media	Sm	.	../Drawing/Icons/Plants/Plants/Stellaria_media(Sm).svg
249	Stropharia rugosoannulata	Sr	.	../Drawing/Icons/Plants/Plants/Stropharia_rugosoannulata(Sr).svg
250	Symphoricarpos albus laevigatus	Sal	.	../Drawing/Icons/Plants/Plants/Symphoricarpos_albus_laevigatus(Sal).svg
251	Symphytum officinale	So	.	../Drawing/Icons/Plants/Plants/Symphytum_officinale(So).svg
252	Symphytum uplandicum	Su	.	../Drawing/Icons/Plants/Plants/Symphytum_uplandicum(Su).svg
253	Taraxacum officinale	To	.	../Drawing/Icons/Plants/Plants/Taraxacum_officinale(To).svg
254	Taxus baccata	Tb	.	../Drawing/Icons/Plants/Plants/Taxus_baccata(Tb).svg
255	Taxus x media	Txh	'Hicksii'	../Drawing/Icons/Plants/Plants/Taxus_x_media'Hicksii'(Txh).svg
256	Taxus x media	Txe	'HM_Eddie'	../Drawing/Icons/Plants/Plants/Taxus_x_media'HM_Eddie'(Txe).svg
257	Thuja plicata	Tp	.	../Drawing/Icons/Plants/Plants/Thuja_plicata(Tp).svg
258	Thymus psedolanuginosus	Tp	.	../Drawing/Icons/Plants/Plants/Thymus_psedolanuginosus(Tp).svg
259	Thymus pseudolanuginosus	Tp	.	../Drawing/Icons/Plants/Plants/Thymus_pseudolanuginosus(Tp).svg
