ID	Latin name	Use
790	Artemisia tridentata	Stuffing
791	Artemisia tridentata	Tinder
792	Artemisia tripartita	Tinder
793	Artemisia vulgaris	Insecticide
794	Artemisia vulgaris	Repellent
795	Artemisia vulgaris	Tinder
796	Arthrocnemum fruticosum	Potash
797	Arthrocnemum fruticosum	Soap making
798	Arum maculatum	Starch
799	Aruncus dioicus	Ground cover
800	Arundinaria gigantea	Basketry
801	Arundinaria gigantea	Musical
802	Arundinaria gigantea	Weaving
803	Arundo donax	Basketry
804	Arundo donax	Biomass
805	Arundo donax	Broom
806	Arundo donax	Dye
807	Arundo donax	Hedge
808	Arundo donax	Musical
809	Arundo donax	Paper
810	Arundo donax	Pipes
811	Arundo donax	Plant support
812	Arundo donax	Shelterbelt
813	Arundo donax	Soil stabilization
814	Arundo donax	Thatching
815	Arundo donax	Weaving
816	Asarum arifolium	Essential
817	Asarum canadense	Ground cover
818	Asarum canadense	Incense
819	Asarum caudatum	Ground cover
820	Asarum europaeum	Dye
821	Asarum europaeum	Ground cover
822	Asarum shuttleworthii	Ground cover
823	Asclepias asperula	Fibre
824	Asclepias asperula	Latex
825	Asclepias asperula	Oil
826	Asclepias asperula	Pollution
827	Asclepias asperula	Stuffing
828	Asclepias asperula	Wick
829	Asclepias brachystephana	Latex
830	Asclepias californica	Latex
831	Asclepias decumbens	Latex
832	Asclepias eriocarpa	Fibre
833	Asclepias eriocarpa	Latex
834	Asclepias erosa	Latex
835	Asclepias galioides	Latex
836	Asclepias hallii	Dye
