ID			Accepted Symbol			Synonym Symbol			Symbol		Scientific Name		Common Name		Genus		Family		Duration		Growth Habit		Native Status		Active Growth Period		After Harvest Regrowth Rate		Bloat		C:N Ratio		Coppice Potential		Fall Conspicuous		Fire Resistance		Flower Color		Flower Conspicuous		Foliage Color		Foliage Porosity Summer		Foliage Porosity Winter		Foliage Texture		Fruit Color		Fruit Conspicuous		Growth Form		Growth Rate		Height at Base Age, Maximum (feet)		Height, Mature (feet)		Known Allelopath		Leaf Retention		Lifespan		Low Growing Grass		Nitrogen Fixation		Resprout Ability		Shape and Orientation		Toxicity		Adapted to Coarse Textured Soils		Adapted to Medium Textured Soils		Adapted to Fine Textured Soils		Anaerobic Tolerance		CaCO<SUB>3</SUB> Tolerance		Cold Stratification Required		Drought Tolerance		Fertility Requirement	Fire Tolerance	Frost Free Days, Minimum	Hedge Tolerance	Moisture Use	pH (Minimum)	pH (Maximum)	Planting Density per Acre, Minimum	Planting Density per Acre, Maximum	Precipitation (Minimum)	Precipitation (Maximum)	Root Depth, Minimum (inches)	Salinity Tolerance	Shade Tolerance	Temperature, Minimum (°F)	Bloom Period	Commercial Availability	Fruit/Seed Abundance	Fruit/Seed Period Begin	Fruit/Seed Period End	Fruit/Seed Persistence	Propogated by Bare Root	Propogated by Bulbs	Propogated by Container	Propogated by Corms	Propogated by Cuttings	Propogated by Seed	Propogated by Sod	Propogated by Sprigs	Propogated by Tubers	Seeds per Pound	Seed Spread Rate	Seedling Vigor	Small Grain	Vegetative Spread Rate	Berry/Nut/Seed Product	Christmas Tree Product	Fodder Product	Fuelwood Product	Lumber Product	Naval Store Product	Nursery Stock Product	Palatable Browse Animal	Palatable Graze Animal	Palatable Human	Post Product	Protein Potential	Pulpwood Product	Veneer Product
41			CRDO2						CRDO2		Crataegus douglasii		black hawthorn		Crataegus		Rosaceae		Perennial		Tree, Shrub		L48 (N), AK (N), CAN (N)		Spring, Summer, Fall				Low		High		Yes		Yes		No		White		Yes		Green		Dense		Porous		Medium		Black		Yes		Thicket Forming		Moderate		15		15		No		No		Moderate		No		None		Yes		Erect		None		Yes		Yes		Yes		Medium		Low		Yes		Low		Low	High	120	High	High	4.8	7.5	200	1000	16	260	12	None	Intermediate	-47	Mid Spring	Routinely Available	Medium	Spring	Fall	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	21317	Moderate	High	No	Moderate	Yes	No	No	Low	No	No	No	High	Medium	Yes	Yes	Low	No	No
42			CRDO2			CRCO6			CRCO6		Crataegus columbiana				Crataegus																																																																																																																														
43			CRDO2			CRDOD			CRDOD		Crataegus douglasii var. douglasii				Crataegus																																																																																																																														
44			ELAN						ELAN		Elaeagnus angustifolia		Russian olive		Elaeagnus		Elaeagnaceae		Perennial		Tree, Shrub		L48 (I), CAN (I)		Spring and Summer				None		Medium		No		No		No		Yellow		Yes		White-Gray		Dense		Moderate		Coarse		Yellow		Yes		Single Stem		Rapid		35		35		No		No		Long		No		High		Yes		Erect		None		Yes		Yes		No		Low		High		Yes		High		Medium	Low	100	High	High	6	9.5	300	1200	12	40	20	High	Intolerant	-38	Early Summer	Routinely Available	High	Summer	Fall	Yes	Yes	No	Yes	No	No	Yes	No	No	No	5160	Rapid	High	No	None	No	No	No		No	No	Yes	Low	Low	Yes	No	Low	No	No
45			ELAN			ELANO2			ELANO2		Elaeagnus angustifolia var. orientalis				Elaeagnus																																																																																																																														
46			ELCO						ELCO		Elaeagnus commutata		silverberry		Elaeagnus		Elaeagnaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		Medium		No		Yes		No		Yellow		No		White-Gray		Dense		Moderate		Coarse		Red		Yes		Multiple Stem		Rapid		12		12		No		No		Moderate		No		Medium		Yes		Erect		None		Yes		Yes		No		None		High		Yes		High		Low	Medium	100	Medium	Low	5	7.9	1200	1700	16	45	18	Medium	Intolerant	-38	Early Summer	Field Collections Only	High	Summer	Fall	Yes	Yes	No	Yes	No	No	Yes	No	No	No	3800	Slow	High	No	None	No	No	No		No	No	Yes	Medium	Low	Yes	No	Low	No	No
47			ELCO			ELAR9			ELAR9		Elaeagnus argentea				Elaeagnus																																																																																																																														
48			EPGL						EPGL		Epilobium glaberrimum		glaucus willowherb		Epilobium		Onagraceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		High		No		No		No		Purple		No		Dark Green		Porous		Porous		Medium		White		No		Rhizomatous		Slow				2		No		No		Moderate		No		None		No		Erect		None		No		Yes		Yes		None		Medium		No		Low		Low	High	200	None	Medium	6.1	7.5			12	20	8	None	Tolerant	-8	Mid Summer	No Known Source	High	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	3000000	Moderate	Medium	No	Slow	No	No	Yes		No	No	No	Low	High	Yes	No	Low	No	No
49			GAHI2						GAHI2		Gaultheria hispidula		creeping snowberry		Gaultheria		Ericaceae		Perennial		Subshrub, Shrub		L48 (N), CAN (N), SPM (N)		Spring and Summer				None		High		No		Yes		No		White		Yes		Dark Green		Dense		Dense		Coarse		Red		Yes		Stoloniferous		Slow				0.5		No		Yes		Long		No		None		Yes		Prostrate		None		Yes		Yes		Yes		Medium		Low		Yes		Medium		Medium	High	110	None	Medium	4	6.5	2700	4800	30	60	12	None	Tolerant	-28	Mid Spring	No Known Source	Low	Summer	Fall	Yes	Yes	No	Yes	No	Yes	Yes	No	No	No	3000000	Slow	Low	No	Moderate	Yes	No	No		No	No	Yes	Medium		Yes	No	Low	No	No
50			GAHI2			CHHI6			CHHI6		Chiogenes hispidula				Chiogenes																																																																																																																														
51			GASH						GASH		Gaultheria shallon		salal		Gaultheria		Ericaceae		Perennial		Subshrub, Shrub		L48 (N), AK (N), CAN (N)		Spring, Summer, Fall				None		High		Yes		No		Yes		White		Yes		Green		Moderate		Porous		Medium		Purple		Yes		Rhizomatous		Rapid		1		6		No		Yes		Moderate		No		None		Yes		Erect		None		Yes		Yes		Yes		Low		None		Yes		Low		Medium	High	200	High	High	5.5	7	700	11000	55	125	12	None	Tolerant	7	Mid Spring	Contracting Only	High	Summer	Fall	Yes	Yes	No	Yes	No	No	Yes	No	No	No	5000000	Rapid	Medium	No	Rapid	No	No	No		No	No	Yes	Low	Low	Yes	No	Low	No	No
